year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,18,13,64,0,22,37,295,3,39,11,56,0.0,2.0,53.0,18,31,76,0,26,34,279,0,0,21,65,15.0,0.0,49.0,L
2022,2,Sun,4:25PM ET,70,0,20,21,80,1,25,39,252,0,8,68,61,0.0,0.0,53.666666666666664,28,28,143,0,31,49,277,1,7,120,78,20.0,10.5,45.333333333333336,L
2022,3,Sun,1:00PM ET,78,14,24,19,96,0,27,45,307,1,7,44,65,23.0,13.0,48.0,19,27,109,0,19,27,264,1,12,85,55,29.0,21.0,60.333333333333336,L
2022,4,Sun,4:25PM ET,70,0,25,38,212,0,21,34,188,0,15,25,74,24.5,2.3333333333333335,53.75,12,20,85,1,17,25,237,0,23,50,48,0.0,22.0,48.2,W
2022,5,Mon,8:15PM ET,77,4,18,24,155,0,19,30,241,0,18,99,56,16.0,3.0,52.0,29,23,103,0,29,43,292,0,27,72,69,19.0,7.0,48.333333333333336,L
2022,7,Sun,4:05PM ET,70,0,25,27,164,0,21,27,241,0,5,44,55,18.25,0.0,46.5,21,23,108,0,28,41,302,1,6,14,65,19.5,1.0,55.0,W
2022,8,Sun,1:00PM ET,70,0,13,13,38,0,23,39,173,1,28,59,56,21.0,3.0,45.8,22,32,136,0,23,31,231,0,0,27,63,0.0,7.5,40.0,L
2022,9,Sun,1:00PM ET,81,14,16,19,73,1,21,36,259,0,11,45,57,10.5,9.666666666666666,49.0,22,37,168,1,25,31,235,0,0,30,68,31.0,8.0,54.333333333333336,L
2022,10,Sun,4:05PM ET,70,0,18,24,77,0,24,38,248,0,16,74,64,28.666666666666668,8.5,58.8,20,30,207,1,21,28,222,0,14,25,59,21.0,9.0,47.666666666666664,L
2022,11,Sun,4:05PM ET,49,11,20,24,109,0,23,37,307,0,9,98,62,23.0,7.0,46.75,19,28,94,0,24,31,247,0,21,45,62,13.666666666666666,13.5,46.75,W
