year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Thu,8:20PM ET,70,0,19,18,52,0,29,41,240,3,49,30,66,16.75,0.0,45.0,23,25,121,2,26,31,297,2,5,35,58,0.0,20.0,0.0,L
2022,2,Sun,4:05PM ET,70,0,24,26,65,1,27,36,272,2,0,61,63,15.0,-1.0,0.0,17,27,90,1,17,26,196,2,25,29,56,27.0,0.0,44.0,W
2022,3,Sun,4:25PM ET,70,0,15,20,100,1,18,25,249,0,10,35,46,31.0,11.0,45.0,23,21,70,0,37,58,314,0,19,50,81,0.0,4.0,40.0,W
2022,4,Mon,8:15PM ET,73,13,21,18,57,1,32,48,254,1,54,5,73,19.333333333333332,0.0,57.25,13,22,88,0,16,27,239,0,0,25,49,21.0,17.0,39.5,L
2022,5,Sun,4:25PM ET,70,0,14,15,38,2,29,44,320,1,35,25,64,0.0,6.333333333333333,44.6,10,34,163,0,10,16,102,0,26,42,53,0.0,12.0,48.0,L
2022,6,Sun,4:05PM ET,70,0,22,29,111,0,26,33,253,1,4,49,63,22.0,15.0,48.0,8,21,93,0,13,21,119,1,9,30,44,24.0,4.0,51.714285714285715,W
2022,8,Sun,4:25PM ET,70,0,16,21,56,0,22,33,187,0,20,50,56,25.0,0.0,50.6,22,23,111,0,22,26,269,0,12,8,52,33.0,11.333333333333334,41.0,L
2022,9,Sun,4:25PM ET,88,2,9,24,68,0,13,27,165,0,27,53,55,21.0,6.0,53.0,18,20,51,0,36,58,280,0,8,55,79,25.0,10.25,59.5,L
2022,10,Sun,4:25PM ET,70,0,18,20,66,1,25,37,209,1,19,29,60,16.0,10.0,50.4,18,26,78,0,26,37,238,0,18,67,65,7.0,13.333333333333334,47.4,L
2022,11,Sun,1:00PM ET,70,0,17,30,148,0,16,28,223,0,35,55,62,34.0,7.0,47.666666666666664,19,24,88,0,22,28,274,0,39,15,56,0.0,10.0,47.8,L
