year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,69,2,13,21,63,0,17,30,213,1,2,29,53,0.0,8.5,48.5,24,17,83,1,37,59,309,1,12,81,79,24.0,15.0,42.166666666666664,W
2022,2,Sun,1:00PM ET,77,6,23,25,155,0,21,29,318,0,0,5,54,103.0,5.0,40.5,27,18,86,0,36,50,469,2,8,51,69,18.0,8.0,41.0,L
2022,3,Sun,1:00PM ET,69,15,19,26,188,1,18,29,218,1,12,10,59,25.0,27.5,44.333333333333336,22,28,145,1,22,32,321,3,19,16,63,22.5,6.5,50.0,W
2022,4,Sun,1:00PM ET,58,2,22,33,162,0,20,29,144,2,10,70,64,20.0,0.0,50.666666666666664,22,25,125,1,19,36,213,1,12,31,62,23.0,7.0,45.333333333333336,L
2022,5,Sun,8:20PM ET,52,2,22,28,155,0,19,32,174,1,4,48,61,15.0,4.0,39.5,20,21,101,0,24,35,217,1,27,20,59,27.0,0.0,38.5,W
2022,6,Sun,1:00PM ET,61,4,23,24,211,1,17,32,210,1,15,74,58,0.0,12.0,47.5,18,31,83,1,19,27,173,0,18,25,62,47.0,8.0,46.25,L
2022,7,Sun,1:00PM ET,63,4,17,44,160,1,9,16,120,0,26,53,63,0.0,46.0,60.333333333333336,18,24,113,2,22,27,258,0,35,45,56,27.0,7.0,57.666666666666664,W
2022,8,Thu,8:15PM ET,76,4,27,33,231,0,27,38,238,0,16,101,74,24.0,9.0,52.5,20,15,44,1,26,44,325,0,20,35,62,0.0,11.0,53.4,W
2022,9,Mon,8:15PM ET,70,0,23,40,188,0,12,22,133,0,2,31,65,9.0,0.0,48.25,13,15,48,0,20,30,223,1,28,40,49,16.5,8.0,46.4,W
2022,11,Sun,1:00PM ET,36,2,19,30,115,0,24,33,209,1,16,93,66,0.0,2.5,35.857142857142854,13,17,36,1,21,33,196,2,27,66,54,8.0,-1.5,44.166666666666664,W
