year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,18,31,76,0,26,34,279,0,0,21,65,15.0,0.0,49.0,18,13,64,0,22,37,295,3,39,11,56,0.0,2.0,53.0,W
2022,2,Thu,8:15PM ET,82,13,21,24,75,0,33,48,334,1,8,25,74,21.5,8.5,40.5,15,18,93,0,24,35,235,0,9,54,54,0.0,3.0,55.5,L
2022,3,Sun,4:05PM ET,70,0,16,12,26,1,25,45,297,1,11,54,58,20.5,6.0,43.75,25,36,151,0,28,39,262,0,0,10,75,0.0,6.0,56.0,L
2022,4,Sun,1:00PM ET,70,0,22,27,81,1,27,39,340,0,2,61,67,17.0,12.0,46.25,16,14,131,0,26,35,246,2,31,67,53,24.0,4.0,52.0,W
2022,5,Sun,1:00PM ET,58,16,26,34,238,0,22,34,228,0,1,17,69,19.5,12.0,37.0,27,31,213,0,21,34,230,1,0,65,65,21.333333333333332,0.0,59.5,W
2022,6,Mon,8:15PM ET,70,0,24,24,73,0,37,57,238,1,14,89,83,22.5,13.0,44.0,13,23,98,1,15,28,188,0,28,151,55,26.0,0.0,46.142857142857146,W
2022,7,Sun,4:25PM ET,70,0,21,15,53,1,33,51,293,1,17,70,69,17.666666666666668,0.0,45.6,24,34,213,1,20,27,210,1,19,68,63,22.5,0.0,46.0,L
2022,9,Sun,1:00PM ET,70,0,19,24,91,1,30,43,245,1,0,45,67,18.0,9.666666666666666,42.0,19,35,201,2,12,23,129,0,15,15,60,0.0,0.0,51.0,W
2022,10,Sun,8:20PM ET,57,6,12,16,51,0,21,37,196,1,9,5,56,15.0,0.0,40.0,22,41,157,1,19,28,240,0,10,52,70,29.0,0.0,33.0,L
2022,11,Sun,8:20PM ET,70,0,22,30,115,1,23,30,280,1,30,25,65,27.0,0.0,49.0,23,27,163,1,20,34,329,0,7,54,62,10.0,3.5,46.0,L
