year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Mon,8:20PM ET,73,4,19,19,76,1,23,28,195,0,18,77,49,25.666666666666668,0.0,50.5,20,20,103,2,29,42,340,0,10,106,64,17.0,3.0,36.0,W
2022,2,Sun,4:05PM ET,64,12,14,14,36,1,24,31,197,2,17,106,47,15.333333333333334,0.0,49.8,25,45,189,0,15,24,184,0,0,26,70,0.0,7.666666666666667,44.0,L
2022,3,Sun,4:25PM ET,72,9,23,23,112,0,32,44,325,1,17,47,69,26.0,0.0,51.0,24,31,179,1,13,20,229,1,22,15,54,0.0,6.0,73.0,L
2022,4,Sun,1:00PM ET,70,0,27,33,235,1,23,30,320,0,0,76,63,0.0,7.0,0.0,27,25,145,1,27,40,384,1,9,59,66,20.666666666666668,0.0,48.5,W
2022,5,Sun,1:00PM ET,70,0,15,21,151,1,16,25,268,0,23,85,49,21.0,0.0,46.6,26,48,235,1,17,25,209,1,6,57,74,20.0,12.5,47.25,L
2022,6,Sun,4:05PM ET,80,6,19,30,136,1,20,31,197,0,37,44,66,0.0,8.0,48.833333333333336,15,28,144,1,23,37,222,1,51,53,71,22.0,5.0,40.5,W
2022,7,Sun,4:25PM ET,70,0,24,34,213,1,20,27,210,1,19,68,63,22.5,0.0,46.0,21,15,53,1,33,51,293,1,17,70,69,17.666666666666668,0.0,45.6,W
2022,8,Sun,4:25PM ET,54,8,19,25,87,1,23,34,212,0,22,25,62,26.0,8.0,48.5,14,28,78,2,17,31,176,0,29,53,64,21.0,5.6,53.666666666666664,W
2022,9,Sun,4:05PM ET,70,0,27,34,158,0,26,34,275,1,12,34,70,20.5,7.666666666666667,54.0,15,21,122,1,25,35,175,0,35,77,61,20.25,3.5,48.0,W
2022,10,Sun,9:30AM ET,54,9,19,14,39,1,23,33,275,0,31,46,50,20.0,0.0,50.6,26,44,161,0,22,30,258,2,0,40,74,18.0,0.0,61.0,L
