year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,67,7,17,37,176,1,13,28,164,1,9,99,67,21.0,11.5,40.25,15,37,99,0,8,17,121,1,16,24,56,24.0,0.0,46.166666666666664,L
2022,2,Sun,4:05PM ET,64,12,25,45,189,0,15,24,184,0,0,26,70,0.0,7.666666666666667,44.0,14,14,36,1,24,31,197,2,17,106,47,15.333333333333334,0.0,49.8,W
2022,3,Sun,8:20PM ET,72,7,13,19,88,2,18,29,211,1,32,40,52,11.5,8.0,51.714285714285715,14,33,101,0,20,33,184,0,24,30,70,14.0,9.0,47.6,L
2022,4,Mon,8:15PM ET,73,13,13,22,88,0,16,27,239,0,0,25,49,21.0,17.0,39.5,21,18,57,1,32,48,254,1,54,5,73,19.333333333333332,0.0,57.25,W
2022,5,Sun,4:05PM ET,66,2,22,29,153,1,18,30,253,0,9,50,61,5.0,4.0,37.5,15,17,64,0,25,42,275,1,31,33,65,28.571428571428573,0.0,51.333333333333336,W
2022,6,Sun,1:00PM ET,70,0,21,16,50,1,29,41,296,2,0,30,57,24.666666666666668,35.0,52.666666666666664,18,40,168,0,13,14,129,0,8,40,56,28.0,24.0,43.0,L
2022,7,Sun,4:25PM ET,66,12,25,21,101,1,29,46,369,2,26,80,72,16.0,0.0,29.0,24,21,112,1,25,36,423,1,6,84,58,21.666666666666668,0.0,33.0,L
2022,8,Sun,4:25PM ET,70,0,22,23,111,0,22,26,269,0,12,8,52,33.0,11.333333333333334,41.0,16,21,56,0,22,33,187,0,20,50,56,25.0,0.0,50.6,W
2022,10,Sun,8:20PM ET,57,6,22,41,157,1,19,28,240,0,10,52,70,29.0,0.0,33.0,12,16,51,0,21,37,196,1,9,5,56,15.0,0.0,40.0,W
2022,11,Mon,8:15PM ET,70,0,21,28,159,0,20,29,228,0,0,30,57,0.0,6.5,54.5,19,24,67,0,30,44,277,2,30,50,71,0.0,15.0,45.25,W
