year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,8:20PM ET,70,0,18,33,152,0,18,27,212,1,17,25,62,0.0,9.333333333333334,50.666666666666664,12,18,71,0,21,42,198,1,25,73,64,19.25,3.0,50.8,W
2022,2,Sun,1:00PM ET,70,0,13,30,72,1,18,34,190,0,2,101,65,14.0,8.5,38.166666666666664,18,20,100,2,25,40,236,3,28,60,66,32.5,-6.0,43.6,W
2022,3,Sun,4:25PM ET,89,7,19,14,34,2,31,42,271,0,20,40,59,20.0,8.666666666666666,49.5,14,25,67,1,27,35,255,1,7,65,61,0.0,10.5,48.42857142857143,L
2022,4,Sun,8:20PM ET,75,2,27,6,3,2,39,52,385,0,12,40,59,25.5,0.0,41.666666666666664,27,37,189,0,23,37,249,1,21,32,77,30.333333333333332,12.0,43.0,L
2022,5,Sun,1:00PM ET,82,8,26,23,69,0,35,52,351,0,0,45,75,18.0,20.0,49.25,19,31,151,0,14,25,147,0,37,55,61,23.0,28.0,48.333333333333336,W
2022,6,Sun,1:00PM ET,58,12,20,26,75,0,25,40,243,0,14,42,68,27.0,4.666666666666667,46.0,15,29,77,0,20,30,211,0,18,45,61,37.333333333333336,7.666666666666667,44.2,L
2022,7,Sun,1:00PM ET,66,6,17,16,46,0,32,49,290,0,14,30,66,23.0,11.5,46.5,14,27,173,0,16,22,177,0,7,15,50,0.0,0.0,51.42857142857143,L
2022,8,Thu,8:15PM ET,76,4,20,15,44,1,26,44,325,0,20,35,62,0.0,11.0,53.4,27,33,231,0,27,38,238,0,16,101,74,24.0,9.0,52.5,L
2022,9,Sun,4:25PM ET,88,2,18,20,51,0,36,58,280,0,8,55,79,25.0,10.25,59.5,9,24,68,0,13,27,165,0,27,53,55,21.0,6.0,53.0,W
2022,10,Sun,9:30AM ET,54,9,26,44,161,0,22,30,258,2,0,40,74,18.0,0.0,61.0,19,14,39,1,23,33,275,0,31,46,50,20.0,0.0,50.6,W
