year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,74,4,26,28,85,1,27,41,313,2,8,63,70,22.0,11.0,49.0,24,18,123,0,24,42,275,1,15,90,62,0.0,2.0,50.0,W
2022,2,Sun,1:00PM ET,70,0,21,21,88,0,30,46,337,1,29,17,72,21.333333333333332,11.0,47.333333333333336,17,24,191,0,20,34,256,0,22,5,61,42.5,8.0,55.4,L
2022,3,Sun,1:00PM ET,68,4,20,22,87,1,25,43,211,0,58,48,74,29.0,0.0,52.5,21,30,72,0,22,35,340,0,12,52,68,0.0,7.666666666666667,46.166666666666664,L
2022,4,Sun,1:00PM ET,70,0,17,27,142,0,25,42,170,2,15,136,71,18.0,4.0,45.0,15,29,62,0,15,27,223,0,6,20,57,0.0,-3.0,42.666666666666664,L
2022,5,Sun,1:00PM ET,59,11,17,17,43,0,25,38,359,1,17,71,58,15.333333333333334,5.8,41.166666666666664,15,32,105,0,15,25,181,0,45,69,62,0.0,0.0,52.0,L
2022,6,Thu,8:15PM ET,48,11,14,28,128,0,12,22,99,0,13,36,53,27.0,11.666666666666666,51.166666666666664,20,37,237,1,14,27,190,1,36,42,69,22.0,5.333333333333333,46.25,W
2022,7,Sun,1:00PM ET,59,9,22,38,166,0,20,33,201,1,3,54,72,26.0,4.0,48.0,16,12,38,1,23,35,194,0,0,69,47,0.0,8.0,41.6,W
2022,8,Sun,4:25PM ET,70,0,20,28,96,0,23,31,279,1,13,52,61,20.5,7.666666666666667,49.0,15,29,135,2,17,23,201,0,12,25,54,0.0,9.5,56.75,W
2022,9,Sun,1:00PM ET,71,11,18,30,137,0,15,28,149,1,23,26,61,34.0,8.2,48.0,17,22,56,0,23,41,262,1,17,42,65,13.0,5.5,51.666666666666664,L
2022,10,Mon,8:15PM ET,43,6,25,49,152,1,17,29,211,1,33,58,81,14.0,12.0,43.5,18,20,94,3,17,26,175,1,5,75,47,20.0,5.0,47.0,W
2022,11,Sun,1:00PM ET,70,0,20,40,153,0,15,27,191,0,0,36,67,24.0,5.5,44.2,11,16,21,0,19,33,169,2,42,15,54,0.0,7.0,47.666666666666664,W
